recordedBy
"Beckman, Ruana; Pena, José; Souza, Raíssa"
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Muñoz, J.; Rousseau, Guillaume; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
Ditadi, A.S.F.
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"dos Santos, R.; Rousseau, Guillaume"
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Santos, B.; , Equipe"
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Santos, B.; , Equipe"
Sanjuan, P.
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Muñoz, J.; Rousseau, Guillaume; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
""
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Hernández, L.; Rousseau, Guillaume; Burgos, J.; Cabezas, R."
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S."
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S."
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J."
Teixeira, R. P.
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J."
"Morais, G.; Borges, A.; Monteiro, E.; Galvão, J."
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Santos, B.; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Morais, G.; Borges, A.; Monteiro, E.; Galvão, J."
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Lavelle, P. ; , Equipe"
"Decaëns,  T.;  Lopes, A. M."
"Morais, G.; Borges, A.; Monteiro, E.; Galvão, J."
"Lavelle, P. ; , Equipe"
"Morais, G.; Borges, A.; Lobato, Cléo; Bastos, R."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J."
"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S."
"Lavelle, P. ; , Equipe"
"Morais, G.; Borges, A.; Magalhães, A.M.; Cayres, S."
"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Decaëns,  T.;  Lopes, A. M."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Decaëns,  T.;  Lopes, A. M."
Decaëns,  T.
"Decaëns,  T.;  Lopes, A. M."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Morais, G.; Borges, A.; Magalhães, A.M.; Cayres, S."
"Decaëns,  T.;  Lopes, A. M."
"Morais, G.; Borges, A.; Lobato, C.; Bastos, R."
"Morais, G.; Borges, A.; Monteiro, E.; Cayres, S."
"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J."
"Morais, G.; Magalhães, A.M.; Monteiro, E.; Vilela, P."
"Morais, G.; Borges, A.; Magalhães, A.M.; Cayres, S."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Morais, G.; Borges, A.; Magalhães, A.M.; Galvão, J."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Lavelle, P. ; ,  Equipe"
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Lavelle, P. ; ,  Equipe"
"Decaëns,  T.;  Lopes, A. M."
"Lavelle, P. ; ,  Equipe"
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Decaëns,  T.;  Lopes, A. M."
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Decaëns,  T.;  Lopes, A. M."
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
"Lavelle, P. ; ,  Equipe"
